postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3195,35867,66,177,184,3,4,22/10/2021,23/10/2021
3196,25329,65,214,256.6,0,5,22/10/2021,23/10/2021
3197,11547,32,67,277.1,3,5,22/10/2021,23/10/2021
3198,16462,76,132,461.7,2,5,22/10/2021,23/10/2021
3199,54299,145,333,267,25,5,22/10/2021,23/10/2021
3200,5759,38,78,659.8,0,6,22/10/2021,23/10/2021
3201,20713,122,227,589,6,6,22/10/2021,23/10/2021
3202,2907,1,9,34.4,0,2,22/10/2021,23/10/2021
3204,30642,52,175,169.7,0,4,22/10/2021,23/10/2021
3205,10919,52,114,476.2,0,5,22/10/2021,23/10/2021
3206,10366,17,82,164,1,4,22/10/2021,23/10/2021
3207,16180,58,247,358.5,0,5,22/10/2021,23/10/2021
3211,1319,11,45,834,4,6,22/10/2021,23/10/2021
3212,16650,36,78,216.2,6,5,22/10/2021,23/10/2021
3213,4032,0,0,0,0,0,22/10/2021,23/10/2021
3214,23960,54,151,225.4,4,5,22/10/2021,23/10/2021
3215,20615,16,89,77.6,3,3,22/10/2021,23/10/2021
3216,56285,24,151,42.6,2,2,22/10/2021,23/10/2021
3217,6607,57,86,862.7,5,6,22/10/2021,23/10/2021
3218,13438,4,21,29.8,1,2,22/10/2021,23/10/2021
3219,19719,10,41,50.7,1,3,22/10/2021,23/10/2021
3220,16352,9,40,55,1,3,22/10/2021,23/10/2021
3221,754,0,3,0,0,0,22/10/2021,23/10/2021
3222,14962,9,30,60.2,1,3,22/10/2021,23/10/2021
3223,7401,10,28,135.1,0,4,22/10/2021,23/10/2021
3224,14187,3,21,21.1,0,2,22/10/2021,23/10/2021
3225,4058,2,6,49.3,0,2,22/10/2021,23/10/2021
3226,14161,6,25,42.4,0,2,22/10/2021,23/10/2021
3227,4821,2,8,41.5,0,2,22/10/2021,23/10/2021
3228,17939,10,26,55.7,3,3,22/10/2021,23/10/2021
3230,2548,2,3,78.5,0,3,22/10/2021,23/10/2021
3231,1257,0,3,0,0,0,22/10/2021,23/10/2021
3232,1111,0,1,0,0,0,22/10/2021,23/10/2021
3233,2029,0,0,0,0,0,22/10/2021,23/10/2021
3234,179,0,0,0,0,0,22/10/2021,23/10/2021
3235,380,0,0,0,0,0,22/10/2021,23/10/2021
3236,230,0,0,0,0,0,22/10/2021,23/10/2021
3237,218,0,0,0,0,0,22/10/2021,23/10/2021
3238,219,0,0,0,0,0,22/10/2021,23/10/2021
3239,423,0,1,0,0,0,22/10/2021,23/10/2021
3240,2026,2,5,98.7,0,3,22/10/2021,23/10/2021
3241,2565,1,3,39,0,2,22/10/2021,23/10/2021
3242,828,0,1,0,0,0,22/10/2021,23/10/2021
3243,357,0,0,0,0,0,22/10/2021,23/10/2021
3249,3204,0,8,0,0,0,22/10/2021,23/10/2021
3250,12250,8,159,65.3,0,3,22/10/2021,23/10/2021
3251,522,0,7,0,0,0,22/10/2021,23/10/2021
3254,307,0,1,0,0,0,22/10/2021,23/10/2021
3260,4768,2,8,41.9,1,2,22/10/2021,23/10/2021
3264,2289,1,1,43.7,0,2,22/10/2021,23/10/2021
3265,2614,5,9,191.3,1,4,22/10/2021,23/10/2021
3266,3071,0,1,0,0,0,22/10/2021,23/10/2021
3267,245,0,0,0,0,0,22/10/2021,23/10/2021
3268,2601,2,2,76.9,0,3,22/10/2021,23/10/2021
3269,729,0,0,0,0,0,22/10/2021,23/10/2021
3270,251,0,0,0,0,0,22/10/2021,23/10/2021
3271,193,0,0,0,0,0,22/10/2021,23/10/2021
3272,1533,0,1,0,0,0,22/10/2021,23/10/2021
3273,146,0,1,0,0,0,22/10/2021,23/10/2021
3274,242,0,0,0,0,0,22/10/2021,23/10/2021
3275,426,0,0,0,0,0,22/10/2021,23/10/2021
3276,479,0,0,0,0,0,22/10/2021,23/10/2021
3277,1922,0,0,0,0,0,22/10/2021,23/10/2021
3278,315,0,0,0,0,0,22/10/2021,23/10/2021
3279,291,0,0,0,0,0,22/10/2021,23/10/2021
3280,31568,2,35,6.3,0,1,22/10/2021,23/10/2021
3281,1702,0,1,0,0,0,22/10/2021,23/10/2021
3282,2363,2,2,84.6,1,3,22/10/2021,23/10/2021
3283,1361,0,1,0,0,0,22/10/2021,23/10/2021
3284,3437,0,0,0,0,0,22/10/2021,23/10/2021
3285,1210,0,1,0,0,0,22/10/2021,23/10/2021
3286,564,0,0,0,0,0,22/10/2021,23/10/2021
3287,436,0,0,0,0,0,22/10/2021,23/10/2021
3289,757,0,0,0,0,0,22/10/2021,23/10/2021
3292,187,0,0,0,0,0,22/10/2021,23/10/2021
3293,302,0,1,0,0,0,22/10/2021,23/10/2021
3294,954,0,0,0,0,0,22/10/2021,23/10/2021
3300,10087,0,1,0,0,0,22/10/2021,23/10/2021
3301,1212,0,0,0,0,0,22/10/2021,23/10/2021
3302,371,0,0,0,0,0,22/10/2021,23/10/2021
3303,338,0,0,0,0,0,22/10/2021,23/10/2021
3304,2725,0,1,0,0,0,22/10/2021,23/10/2021
3305,12815,2,21,15.6,0,1,22/10/2021,23/10/2021
3309,126,0,0,0,0,0,22/10/2021,23/10/2021
3310,272,0,0,0,0,0,22/10/2021,23/10/2021
3311,1696,0,0,0,0,0,22/10/2021,23/10/2021
3312,1033,0,0,0,0,0,22/10/2021,23/10/2021
3314,525,1,1,190.5,0,4,22/10/2021,23/10/2021
3000,37979,208,587,547.7,30,6,22/10/2021,23/10/2021
3001,0,0,0,0,0,0,22/10/2021,23/10/2021
3002,4957,7,30,141.2,0,4,22/10/2021,23/10/2021
3003,5516,24,146,435.1,5,5,22/10/2021,23/10/2021
3004,9311,36,141,386.6,6,5,22/10/2021,23/10/2021
3005,523,0,0,0,0,0,22/10/2021,23/10/2021
3006,18811,67,240,356.2,7,5,22/10/2021,23/10/2021
3008,10438,38,168,364.1,4,5,22/10/2021,23/10/2021
3010,1595,0,0,0,0,0,22/10/2021,23/10/2021
3011,21464,111,439,517.1,4,6,22/10/2021,23/10/2021
3012,26295,135,454,513.4,9,6,22/10/2021,23/10/2021
3013,14967,31,173,207.1,3,5,22/10/2021,23/10/2021
3015,17472,52,250,297.6,8,5,22/10/2021,23/10/2021
